sku,quantity
BFL623MV3,2
BEL653MS3,2
BFL634GS1,2
BFL634GW1,2
SR65ZX16ME,2
KI86NAD306,2
DWB66DM50,2
DWB96DM50,2
LC67KHM60,2
PPP6A2M90R,2
PGP6B2O92R,2
PGP6B5O93R,2
PGP6B6O93R,2
PGH6B5O93R,2
EN6B6PO92R,2
PNP6B2O92R,2
PNP6B6O92R,2
HBF011BR0Q,2
HB514FBR0T,2
HBF534EB0Q,2
HBF534ES0Q,2
HBJ558YS0Q,2
HBJ517YS0R,2
HB537A2S00,2
HBG635BB1,2
HBG635BS1,2
HB676G0S1,2
HM676G0S1,2
HBG6764B1,2
HSG656RS1,2
PKE611BA2E,2
PIB375FB1E,2
PUG61KAA5E,2
PUE611BB5E,2
PUF612FC5E,2
EU631FEB1E,2
PIF672FB1E,2
EX975LVC1E,2
PIE611B15E,2
CDG634AS0,2
CM678G4S1,2
SMS25AW01K,2
SPS2IKW04K,2
SMV2ITX14K,2
SPS2IKI02K,2
SP61IX05KK,2
SMV2IVX00K,2
SMV4HVX00K,2
SRV4XMX10K,2
SMH6ZCX40K,2
SMD6ZDX40K,2
WAN28262UA,2
WNA14400ME,2
WTH83001UA,2
WTH85204UA,2
WT45H000UA,2
KDN55NL20U,2
KGN39VL316,2
KGN39LB316,2
KGA76PI30U,2
BBS611LAG,2
BBZ152EF,2
BBZ154HF,2
BBZ156HF,2
BBZ16GALL,2
BBZ41FGALL,2
BBZWD4BAG,2
BCH86SIL1,2
BCHF2MX20,2
BCS8214ANM,2
BSS8224,2
BCH3K2301,2
BBS711ANM,2
BCS712XXL,2
BGBS2LB1,2
BGC05AAA2,2
BGB6X330,2
BGL6PET1,2
BGS05A220,2
BGS41PET1,2
BGS7POW1,2
BGS21X320,2
BGC21X350,2
BGS21POW2,2
BGS41POW2,2
BWD41700,2
BWD41740,2
FFL023MW0,2
FEL053MS2,2
MCP3000N,2
MES25G0,2
MES3500,2
MESM731M,2
MFQ2600W,2
MFQ3010,2
MFQ36490,2
MFQ36400,2
MFQ4020,2
MFQ40303,2
MFQ3650X,2
MFW2514W,2
MFW2515W,2
MFW3520W,2
MFW3640A,2
MFW3X10W,2
MFW3X14W,2
MFW3X15W,2
MFW3X17B,2
MFW3X18W,2
MMB6141B,2
MMB6172S,2
MMB6384M,2
MMB2111S,2
MMR08A1,2
MMR08R2,2
MS61B6150,2
MS62B6190,2
MS6CA4150,2
MS6CM6155,2
MS8CM6160,2
MS8CM6190,2
MS8CM61X1,2
MSM14200,2
MSM14500,2
MSM2620B,2
MSM26500,2
MUMS2AW00,2
MUMS2EW30,2
MUM58231,2
MUM58720,2
MUMS2VM40,2
MUZ9FW1,2
TAT4P424,2
TE653M11RW,2
TI353201RW,2
TSM6A013B,2
TSM6A014R,2
TWK3P420,2
TWK3P423,2
TWK5P475,2
TWK7601,2
TZ80001A,2
TZ80002A,2
40218060,4
10205279,1
40199510,10
40199061,10
41566011,1
111000005,5
111000009,1
111000046,7
111000011,4
111000015,1
111000013,3
41531024,1
41592223,3
111010010,2
111010011,1
111010012,1
111010014,1
111010015,1
111010016,3
41531030,2
40587603,1
41560160,1
89260611,2
89260614,2
89230512,1
55995020S,10
23938120W,3
38911502,2
116080000,10
629150210,3
116030047,3
116030048,5
116030046,10
116030035,8
116030023,10
33915020N,10
116030031,4
116030009,3
53995120FW,9
53995120CN,10
53995120Q,7
53995120S,10
8191362,10
97931802,7
55995020CN,10
55995020Q,10
249380200,1
111630001,1
111630003,2
40239025,1
40199260,1
40199270,2
40490149,2
40199038,10
40487180,1
40487181,5
112930031,1
112930032,1
112930033,1
112930030,1
112930024,1
112930027,2
112930005,1
112930039,3
112930040,2
112930044,6
790066400,2
40143510,9
40143562,4
40143561,2
40109615,4
11119201,3
115100021,1
115230013,6
115230012,9
115230011,10
115230014,10
40143351,1
40144515,10
115230027,10
115230026,7
115230022,10
11131022,1
115260005,10
10107018,10
10107021,4
11107038,3
115110015,10
115110016,10
40584001,3
40587100,1
112030003,1
40584403,3
112040001,4
41599012,10
40519710,1
111890005,2
111890006,2
88801300,10
61001195,10
112520013,6
10210184,3
112510025,1
40199236,5
113400000,2
113430005,10
101.0017.507,1
101.0255.783,6
101.0255.788,9
101.0330.658,9
101.0368.322,1
101.0381.767,8
101.0381.770,9
101.0381.806,7
101.0381.808,9
101.0381.809,9
101.0381.810,9
101.0381.836,5
101.0381.837,2
101.0381.838,2
101.0381.839,1
101.0456.706,9
101.0598.809,9
106.0183.080,3
106.0183.091,1
106.0183.104,3
106.0374.278,7
106.0374.280,2
106.0374.283,4
106.0374.292,2
106.0496.078,2
106.0525.290,3
106.0540.668,2
106.0541.746,2
106.0541.749,1
106.0541.750,1
106.0541.752,2
106.0541.753,1
106.0541.756,2
106.0541.758,2
106.0554.318,2
106.0554.382,3
106.0554.388,3
106.0554.391,2
106.0554.392,2
106.0554.393,1
106.0554.394,4
106.0554.404,7
106.0554.405,1
106.0554.411,1
106.0572.276,2
106.0670.112,1
106.0670.114,2
108.0373.665,1
108.0373.670,1
108.0377.090,2
108.0379.465,1
108.0390.419,1
108.0516.315,2
108.0516.320,7
108.0516.351,1
108.0606.106,6
108.0606.107,9
108.0606.108,9
108.0606.110,4
108.0606.111,9
108.0606.112,9
108.0613.587,4
108.0613.588,2
110.0200.714,9
110.0200.734,9
110.0260.618,2
110.0275.345,2
110.0275.346,9
110.0389.115,2
110.0392.878,3
110.0456.716,4
110.0456.718,1
110.0456.720,1
110.0456.723,7
110.0456.724,2
110.0473.545,9
110.0473.546,4
110.0473.547,4
112.0006.456,9
112.0007.662,1
112.0007.715,9
112.0016.755,9
112.0016.756,9
112.0030.882,9
112.0040.691,1
112.0048.209,9
112.0049.409,9
112.0052.781,2
112.0057.214,1
112.0066.060,9
112.0067.942,7
112.0068.244,9
112.0073.192,9
112.0075.642,3
112.0158.424,1
112.0174.991,7
112.0174.994,1
112.0176.753,2
112.0193.038,9
112.0197.447,1
112.0199.083,2
112.0199.086,1
112.0199.087,1
112.0250.014,4
112.0253.273,9
112.0256.867,9
112.0262.703,1
112.0285.247,2
112.0339.360,1
112.0389.090,9
112.0394.981,9
112.0442.942,1
112.0464.521,2
112.0464.522,9
112.0470.631,1
112.0470.632,1
112.0473.656,9
112.0473.657,5
112.0480.588,3
112.0489.809,4
112.0512.280,9
112.0517.083,1
112.0517.084,2
112.0520.471,1
112.0530.237,1
112.0530.238,9
112.0530.239,7
112.0530.322,7
112.0532.169,9
112.0538.950,9
112.0539.138,1
112.0539.568,3
112.0548.292,1
112.0548.447,2
112.0548.448,1
112.0564.564,9
112.0591.082,7
112.0595.334,9
112.0602.288,2
112.0619.946,9
112.0622.813,9
112.0622.814,9
112.0622.815,9
112.0622.816,1
112.0622.817,9
112.0622.819,6
112.0622.820,2
112.0622.821,8
112.0624.354,9
112.0624.895,7
112.0625.483,8
112.0625.486,9
112.0652.763,9
112.0655.481,9
